issue,hundreds,tens,ones
2005316,2,7,2
2005317,8,5,1
2005318,7,9,3
2005319,3,6,9
2005320,9,2,2
2005321,0,2,4
2005322,5,8,3
2005323,1,6,2
2005324,1,3,9
2005325,2,1,2
2005326,8,7,4
2005327,0,9,7
2005328,0,0,9
2005329,9,0,0
2005330,9,0,5
2005331,1,7,6
2005332,2,0,8
2005333,5,4,0
2005334,8,2,7
2005335,2,1,8
2005336,2,4,8
2005337,5,3,9
2005338,4,9,3
2005339,4,3,7
2005340,9,9,8
2005341,4,6,7
2005342,8,6,4
2005343,8,9,5
2005344,3,8,1
2005345,9,2,4
2005346,1,3,9
2005347,2,7,2
2005348,0,3,8
2005349,0,1,4
2005350,9,6,9
2005351,1,7,3
2005352,5,4,0
2005353,5,3,6
2005354,7,2,6
2005355,4,6,8
2005356,6,8,1
2005357,4,2,9
2005358,8,4,2
2006001,1,6,0
2006002,1,1,0
2006003,2,2,9
2006004,6,1,4
2006005,8,7,7
2006006,7,1,3
2006007,7,4,6
2006008,1,7,9
2006009,3,4,9
2006010,6,2,4
2006011,6,3,4
2006012,0,9,8
2006013,8,4,8
2006014,4,0,0
2006015,8,0,0
2006016,4,8,1
2006017,8,7,8
2006018,8,8,4
2006019,4,9,7
2006020,6,6,1
2006021,0,5,1
2006022,9,0,0
2006023,5,1,5
2006024,6,8,6
2006025,1,4,1
2006026,4,9,7
2006027,4,6,0
2006028,0,2,8
2006029,4,0,3
2006030,9,6,4
2006031,4,0,9
2006032,9,3,0
2006033,6,6,7
2006034,3,1,4
2006035,8,4,8
2006036,8,9,1
2006037,6,9,7
2006038,7,1,5
2006039,4,4,6
2006040,4,6,3
2006041,5,9,4
2006042,7,1,0
2006043,1,1,6
2006044,0,6,9
2006045,8,4,6
2006046,0,2,1
2006047,4,6,9
2006048,1,3,8
2006049,5,6,6
2006050,1,5,3
2006051,2,2,5
2006052,7,7,1
2006053,3,0,6
2006054,8,3,5
2006055,5,7,6
2006056,7,7,7
2006057,6,6,6
2006058,1,2,8
2006059,0,5,2
2006060,9,8,5
2006061,3,0,9
2006062,7,0,8
2006063,8,1,7
2006064,9,3,6
2006065,5,4,2
2006066,2,7,7
2006067,3,0,5
2006068,4,9,0
2006069,3,9,6
2006070,9,2,9
2006071,1,3,0
2006072,4,1,9
2006073,7,3,1
2006074,3,0,6
2006075,2,7,4
2006076,4,0,1
2006077,7,1,5
2006078,3,2,1
2006079,4,0,3
2006080,8,0,2
2006081,9,7,6
2006082,9,6,7
2006083,7,6,1
2006084,7,3,7
2006085,2,9,4
2006086,7,5,6
2006087,1,6,0
2006088,9,6,0
2006089,9,1,0
2006090,4,6,7
2006091,1,0,1
2006092,1,7,5
2006093,6,0,5
2006094,3,0,4
2006095,2,3,7
2006096,1,4,9
2006097,8,2,3
2006098,2,0,3
2006099,5,9,6
2006100,6,6,1
2006101,7,0,8
2006102,0,4,0
2006103,4,5,5
2006104,9,2,3
2006105,8,8,3
2006106,4,7,8
2006107,0,8,6
2006108,0,0,8
2006109,8,6,0
2006110,7,2,4
2006111,5,9,4
2006112,4,4,0
2006113,0,8,6
2006114,9,1,3
2006115,4,4,2
2006116,0,5,2
2006117,3,3,2
2006118,3,5,5
2006119,4,5,4
2006120,1,6,6
2006121,2,1,7
2006122,9,4,0
2006123,0,8,4
2006124,8,1,2
2006125,7,1,1
2006126,1,3,3
2006127,9,3,1
2006128,8,5,8
2006129,8,8,0
2006130,0,3,6
2006131,9,9,9
2006132,7,1,4
2006133,0,1,5
2006134,2,9,2
2006135,1,7,1
2006136,1,4,1
2006137,3,5,1
2006138,1,2,8
2006139,4,6,2
2006140,3,6,3
2006141,6,8,8
2006142,4,3,5
2006143,5,8,2
2006144,6,2,6
2006145,3,8,4
2006146,3,6,4
2006147,1,9,5
2006148,6,5,4
2006149,2,8,6
2006150,8,4,8
2006151,2,0,9
2006152,3,7,7
2006153,0,1,4
2006154,9,6,0
2006155,0,3,1
2006156,1,3,4
2006157,8,9,2
2006158,2,7,5
2006159,0,7,2
2006160,8,0,3
2006161,0,7,5
2006162,3,4,8
2006163,3,6,8
2006164,1,3,2
2006165,1,2,7
2006166,4,2,6
2006167,0,9,5
2006168,5,1,9
2006169,6,9,0
2006170,4,0,7
2006171,1,1,4
2006172,0,5,0
2006173,9,0,0
2006174,3,5,7
2006175,0,8,3
2006176,3,6,1
2006177,8,6,7
2006178,5,7,7
2006179,6,9,2
2006180,2,0,7
2006181,7,0,8
2006182,9,4,9
2006183,5,5,3
2006184,6,0,8
2006185,5,9,6
2006186,2,1,5
2006187,4,1,0
2006188,3,6,3
2006189,4,0,4
2006190,4,5,3
2006191,5,8,9
2006192,2,1,1
2006193,7,5,1
2006194,5,1,0
2006195,9,9,5
2006196,3,2,8
2006197,8,7,0
2006198,0,0,1
2006199,2,4,1
2006200,6,7,3
2006201,9,8,2
2006202,8,4,2
2006203,5,3,9
2006204,8,2,0
2006205,6,0,1
2006206,5,5,7
2006207,3,7,7
2006208,1,3,8
2006209,4,5,0
2006210,0,8,5
2006211,3,3,0
2006212,6,8,3
2006213,1,2,6
2006214,6,6,6
2006215,6,6,3
2006216,3,3,4
2006217,7,9,5
2006218,4,4,0
2006219,7,9,0
2006220,2,5,3
2006221,4,7,9
2006222,7,1,8
2006223,7,4,8
2006224,0,3,9
2006225,3,4,0
2006226,6,8,5
2006227,8,5,0
2006228,5,5,9
2006229,7,7,2
2006230,2,7,9
2006231,6,4,5
2006232,7,2,7
2006233,9,9,4
2006234,6,6,6
2006235,3,1,5
2006236,2,5,1
2006237,6,8,3
2006238,1,6,5
2006239,8,7,4
2006240,0,7,2
2006241,3,2,1
2006242,4,3,3
2006243,4,3,5
2006244,0,7,6
2006245,5,6,8
2006246,4,1,0
2006247,5,2,3
2006248,9,9,8
2006249,4,4,8
2006250,4,1,1
2006251,4,7,4
2006252,0,6,8
2006253,3,1,0
2006254,0,2,3
2006255,5,0,1
2006256,2,6,6
2006257,1,8,4
2006258,1,5,8
2006259,1,1,0
2006260,2,4,1
2006261,4,7,3
2006262,4,5,7
2006263,5,4,1
2006264,5,2,0
2006265,1,4,3
2006266,9,7,3
2006267,6,9,1
2006268,4,4,0
2006269,5,3,7
2006270,0,8,3
2006271,4,9,2
2006272,8,5,7
2006273,8,4,9
2006274,4,2,6
2006275,5,7,6
2006276,9,3,5
2006277,9,9,2
2006278,7,9,3
2006279,1,4,6
2006280,0,5,0
2006281,9,8,1
2006282,0,4,3
2006283,1,3,1
2006284,1,6,0
2006285,3,4,2
2006286,9,2,1
2006287,7,9,1
2006288,3,1,6
2006289,2,4,4
2006290,9,1,8
2006291,6,7,1
2006292,5,6,6
2006293,4,5,2
2006294,1,5,2
2006295,2,1,9
2006296,5,1,9
2006297,3,0,8
2006298,3,6,3
2006299,7,3,6
2006300,8,4,6
2006301,8,6,5
2006302,2,3,7
2006303,6,7,7
2006304,5,1,7
2006305,0,4,1
2006306,4,1,7
2006307,6,4,0
2006308,1,7,5
2006309,8,0,7
2006310,9,5,8
2006311,2,4,2
2006312,6,8,9
2006313,3,0,0
2006314,7,8,3
2006315,0,6,4
2006316,8,5,1
2006317,3,0,0
2006318,5,0,3
2006319,1,6,4
2006320,9,0,4
2006321,6,4,1
2006322,9,5,9
2006323,0,1,9
2006324,1,4,7
2006325,0,3,9
2006326,1,8,9
2006327,6,8,3
2006328,9,6,0
2006329,8,6,3
2006330,4,5,5
2006331,1,4,0
2006332,3,6,5
2006333,1,7,3
2006334,1,8,2
2006335,9,7,7
2006336,4,6,0
2006337,9,0,0
2006338,4,4,7
2006339,6,3,8
2006340,7,9,0
2006341,0,4,7
2006342,6,9,5
2006343,5,3,9
2006344,9,4,8
2006345,6,7,6
2006346,7,6,0
2006347,5,6,9
2006348,6,4,4
2006349,4,1,5
2006350,8,0,2
2006351,5,0,9
2006352,9,3,9
2006353,5,0,3
2006354,2,8,3
2006355,8,2,7
2006356,6,2,3
2006357,0,1,5
2007001,0,1,9
2007002,4,8,4
2007003,7,3,3
2007004,3,1,3
2007005,7,3,6
2007006,2,5,5
2007007,4,5,9
2007008,5,5,8
2007009,5,0,4
2007010,7,3,5
2007011,1,9,3
2007012,0,3,5
2007013,5,5,0
2007014,8,1,4
2007015,9,1,6
2007016,4,4,1
2007017,9,5,6
2007018,5,2,9
2007019,6,5,2
2007020,4,8,1
2007021,5,7,7
2007022,3,0,5
2007023,5,8,1
2007024,2,9,6
2007025,3,9,2
2007026,3,4,4
2007027,7,9,0
2007028,7,4,8
2007029,5,7,5
2007030,7,4,7
2007031,9,7,5
2007032,5,5,1
2007033,9,2,8
2007034,4,1,4
2007035,4,0,9
2007036,4,8,5
2007037,5,7,0
2007038,1,9,5
2007039,7,1,2
2007040,2,1,2
2007041,3,5,9
2007042,3,9,3
2007043,3,2,1
2007044,5,2,2
2007045,4,0,0
2007046,2,0,8
2007047,3,0,4
2007048,4,1,8
2007049,3,6,3
2007050,9,5,1
2007051,8,9,2
2007052,8,9,9
2007053,0,7,8
2007054,2,0,4
2007055,6,5,6
2007056,4,0,3
2007057,6,6,8
2007058,2,9,5
2007059,0,2,9
2007060,9,8,7
2007061,1,4,4
2007062,7,7,5
2007063,3,2,6
2007064,6,1,7
2007065,5,0,0
2007066,8,8,9
2007067,0,1,6
2007068,6,9,1
2007069,6,8,3
2007070,1,6,3
2007071,3,9,4
2007072,9,1,4
2007073,9,7,7
2007074,7,4,5
2007075,0,7,1
2007076,3,9,9
2007077,6,2,3
2007078,6,6,6
2007079,7,1,0
2007080,3,7,9
2007081,8,2,7
2007082,9,4,2
2007083,1,8,0
2007084,8,1,1
2007085,6,8,7
2007086,5,7,4
2007087,9,0,5
2007088,2,5,8
2007089,5,8,9
2007090,0,7,1
2007091,7,7,9
2007092,9,5,8
2007093,3,6,8
2007094,4,1,5
2007095,0,7,4
2007096,8,4,5
2007097,7,5,5
2007098,0,0,6
2007099,3,0,4
2007100,4,8,8
2007101,4,1,8
2007102,2,4,5
2007103,6,7,1
2007104,1,3,0
2007105,1,7,7
2007106,6,4,2
2007107,5,2,9
2007108,6,5,3
2007109,6,0,2
2007110,6,3,0
2007111,2,9,6
2007112,5,7,9
2007113,3,2,4
2007114,8,1,0
2007115,7,1,7
2007116,1,4,4
2007117,2,0,9
2007118,4,0,0
2007119,2,2,5
2007120,7,3,5
2007121,8,3,1
2007122,9,0,4
2007123,7,9,0
2007124,5,1,8
2007125,0,4,5
2007126,4,2,5
2007127,0,6,6
2007128,7,4,6
2007129,9,5,2
2007130,4,6,8
2007131,3,4,2
2007132,7,2,4
2007133,2,1,8
2007134,1,5,2
2007135,7,6,2
2007136,2,5,7
2007137,4,0,0
2007138,1,9,0
2007139,2,9,1
2007140,6,5,5
2007141,7,3,1
2007142,4,7,0
2007143,7,5,9
2007144,3,9,1
2007145,1,1,9
2007146,9,5,1
2007147,3,3,6
2007148,8,0,6
2007149,0,0,9
2007150,5,0,5
2007151,8,8,5
2007152,9,4,8
2007153,3,2,1
2007154,7,7,5
2007155,4,8,1
2007156,8,5,9
2007157,6,0,2
2007158,6,3,6
2007159,0,1,2
2007160,2,2,5
2007161,4,4,3
2007162,4,0,7
2007163,0,9,4
2007164,1,7,9
2007165,0,7,3
2007166,5,8,1
2007167,0,8,5
2007168,5,3,9
2007169,4,0,4
2007170,6,6,9
2007171,7,7,2
2007172,5,0,3
2007173,7,3,4
2007174,2,1,2
2007175,9,4,2
2007176,8,1,1
2007177,8,4,8
2007178,9,8,9
2007179,2,6,9
2007180,7,0,1
2007181,4,1,7
2007182,5,1,8
2007183,4,8,0
2007184,9,9,8
2007185,6,6,2
2007186,2,0,8
2007187,4,5,1
2007188,7,7,4
2007189,5,0,5
2007190,4,8,8
2007191,6,0,3
2007192,0,1,4
2007193,8,1,8
2007194,1,5,4
2007195,5,3,7
2007196,0,3,0
2007197,0,2,4
2007198,9,4,2
2007199,2,8,9
2007200,8,1,8
2007201,2,8,4
2007202,2,7,4
2007203,3,8,4
2007204,0,3,3
2007205,1,5,3
2007206,5,1,1
2007207,8,2,8
2007208,7,4,6
2007209,6,0,7
2007210,4,7,6
2007211,7,5,5
2007212,3,1,9
2007213,1,3,8
2007214,5,1,3
2007215,6,4,4
2007216,4,9,2
2007217,0,3,7
2007218,5,9,0
2007219,8,6,2
2007220,2,6,3
2007221,6,1,1
2007222,8,0,1
2007223,6,8,7
2007224,8,3,0
2007225,5,9,2
2007226,5,8,5
2007227,4,2,0
2007228,1,4,1
2007229,5,8,4
2007230,0,2,1
2007231,4,8,2
2007232,7,3,9
2007233,8,5,5
2007234,3,0,2
2007235,3,5,8
2007236,5,5,2
2007237,0,4,7
2007238,1,9,3
2007239,3,2,3
2007240,6,7,5
2007241,3,9,8
2007242,1,1,7
2007243,4,9,2
2007244,0,9,5
2007245,0,6,2
2007246,8,8,4
2007247,3,9,3
2007248,1,1,9
2007249,3,6,0
2007250,7,0,6
2007251,9,4,1
2007252,8,8,2
2007253,5,7,3
2007254,9,8,1
2007255,6,9,2
2007256,9,5,2
2007257,3,7,3
2007258,1,7,3
2007259,6,4,9
2007260,2,6,8
2007261,2,3,5
2007262,0,6,2
2007263,2,1,7
2007264,6,9,6
2007265,4,3,2
2007266,5,4,7
2007267,8,3,8
2007268,4,9,3
2007269,8,2,5
2007270,7,8,1
2007271,4,5,3
2007272,4,6,6
2007273,0,5,2
2007274,8,1,7
2007275,8,6,6
2007276,6,6,9
2007277,8,1,4
2007278,6,1,5
2007279,4,9,8
2007280,8,9,1
2007281,7,2,8
2007282,6,3,1
2007283,4,1,7
2007284,4,7,3
2007285,3,0,1
2007286,1,8,8
2007287,3,5,6
2007288,5,7,3
2007289,8,6,1
2007290,7,3,6
2007291,6,6,1
2007292,7,3,2
2007293,3,2,1
2007294,6,0,5
2007295,6,6,6
2007296,5,1,9
2007297,9,4,7
2007298,5,4,5
2007299,6,6,4
2007300,9,0,8
2007301,3,6,4
2007302,1,1,0
2007303,7,0,0
2007304,3,3,8
2007305,5,1,1
2007306,5,0,7
2007307,7,4,9
2007308,6,2,7
2007309,3,3,4
2007310,9,6,0
2007311,0,1,3
2007312,7,8,4
2007313,1,9,6
2007314,3,4,3
2007315,8,1,6
2007316,4,3,0
2007317,2,1,4
2007318,1,2,5
2007319,0,5,1
2007320,9,2,4
2007321,4,9,4
2007322,3,4,9
2007323,3,3,1
2007324,1,1,2
2007325,6,7,4
2007326,5,5,8
2007327,4,2,3
2007328,5,4,5
2007329,7,3,2
2007330,1,2,4
2007331,5,3,5
2007332,9,1,3
2007333,2,8,4
2007334,1,1,9
2007335,7,4,7
2007336,7,8,5
2007337,3,9,9
2007338,8,5,6
2007339,4,5,0
2007340,1,0,5
2007341,6,6,7
2007342,6,0,6
2007343,8,5,2
2007344,6,7,5
2007345,4,7,6
2007346,7,9,3
2007347,2,7,9
2007348,9,9,2
2007349,5,2,2
2007350,8,8,9
2007351,5,5,8
2007352,7,9,8
2007353,3,7,7
2007354,2,3,9
2007355,1,2,9
2007356,8,3,1
2007357,4,9,5
2008001,3,4,6
2008002,7,9,0
2008003,3,5,3
2008004,0,9,4
2008005,5,1,7
2008006,0,2,0
2008007,3,0,2
2008008,1,4,9
2008009,0,3,0
2008010,7,6,5
2008011,3,8,0
2008012,1,5,3
2008013,3,6,9
2008014,6,1,6
2008015,4,4,8
2008016,9,5,4
2008017,9,5,0
2008018,7,9,3
2008019,5,7,3
2008020,7,4,5
2008021,9,9,9
2008022,2,5,4
2008023,1,1,2
2008024,0,1,6
2008025,9,6,0
2008026,0,8,8
2008027,8,2,5
2008028,6,7,4
2008029,5,6,2
2008030,9,8,4
2008031,1,3,6
2008032,1,8,3
2008033,5,0,5
2008034,8,0,7
2008035,5,7,0
2008036,3,2,0
2008037,1,4,9
2008038,3,1,2
2008039,3,7,2
2008040,8,9,8
2008041,1,2,5
2008042,2,6,6
2008043,3,2,0
2008044,1,4,9
2008045,9,3,0
2008046,1,7,9
2008047,2,3,0
2008048,3,0,8
2008049,4,0,3
2008050,4,2,8
2008051,3,6,3
2008052,6,9,0
2008053,1,5,6
2008054,1,3,2
2008055,8,2,8
2008056,8,3,0
2008057,1,7,2
2008058,8,0,2
2008059,7,9,3
2008060,5,7,0
2008061,5,4,3
2008062,9,3,3
2008063,5,4,4
2008064,8,9,8
2008065,7,3,8
2008066,8,5,7
2008067,6,6,2
2008068,2,4,9
2008069,4,3,7
2008070,6,1,2
2008071,3,0,3
2008072,2,6,8
2008073,8,1,6
2008074,4,0,0
2008075,7,0,6
2008076,4,5,7
2008077,4,7,5
2008078,0,1,4
2008079,0,2,2
2008080,3,5,7
2008081,0,2,6
2008082,6,5,9
2008083,6,6,9
2008084,9,7,9
2008085,0,8,1
2008086,4,0,7
2008087,4,0,9
2008088,3,2,2
2008089,0,4,2
2008090,1,5,9
2008091,1,6,0
2008092,4,1,8
2008093,1,4,8
2008094,1,4,4
2008095,9,7,9
2008096,3,8,2
2008097,8,3,6
2008098,0,4,0
2008099,1,5,4
2008100,6,2,6
2008101,9,3,4
2008102,9,4,5
2008103,0,0,0
2008104,3,0,0
2008105,4,9,2
2008106,6,5,3
2008107,6,2,4
2008108,1,9,9
2008109,9,1,8
2008110,4,6,4
2008111,4,6,9
2008112,1,5,4
2008113,1,0,2
2008114,2,7,4
2008115,3,2,7
2008116,5,6,0
2008117,0,3,2
2008118,4,4,2
2008119,4,0,8
2008120,4,8,7
2008121,9,0,4
2008122,1,9,7
2008123,5,4,5
2008124,7,8,1
2008125,4,2,2
2008126,6,1,0
2008127,5,6,0
2008128,3,8,5
2008129,9,3,1
2008130,4,6,6
2008131,8,1,7
2008132,2,2,8
2008133,0,8,2
2008134,7,2,1
2008135,4,1,6
2008136,2,2,6
2008137,4,2,7
2008138,3,6,4
2008139,1,7,9
2008140,3,0,3
2008141,1,8,0
2008142,9,3,8
2008143,6,4,0
2008144,9,7,1
2008145,0,6,4
2008146,0,2,8
2008147,8,3,1
2008148,9,2,5
2008149,0,8,3
2008150,6,2,5
2008151,7,2,4
2008152,5,9,0
2008153,0,6,7
2008154,8,6,9
2008155,7,1,7
2008156,9,8,5
2008157,7,8,8
2008158,3,8,6
2008159,7,5,2
2008160,7,4,7
2008161,2,7,3
2008162,1,3,2
2008163,1,5,1
2008164,0,5,7
2008165,3,0,7
2008166,1,2,8
2008167,2,4,2
2008168,6,8,0
2008169,9,2,3
2008170,3,7,1
2008171,9,5,9
2008172,4,1,9
2008173,5,9,7
2008174,5,5,3
2008175,4,7,0
2008176,6,7,4
2008177,4,4,8
2008178,6,1,5
2008179,0,4,9
2008180,6,6,7
2008181,0,0,1
2008182,8,6,5
2008183,0,8,5
2008184,5,8,9
2008185,6,9,7
2008186,1,5,2
2008187,3,7,4
2008188,4,1,3
2008189,4,0,9
2008190,3,4,0
2008191,9,5,0
2008192,5,2,4
2008193,1,0,3
2008194,8,4,0
2008195,4,0,9
2008196,1,6,1
2008197,9,6,4
2008198,9,7,9
2008199,1,6,4
2008200,4,6,5
2008201,4,5,8
2008202,1,5,6
2008203,5,6,3
2008204,7,9,9
2008205,6,8,1
2008206,6,8,3
2008207,6,4,7
2008208,8,3,3
2008209,9,1,4
2008210,4,5,8
2008211,2,8,0
2008212,6,4,0
2008213,7,2,8
2008214,8,6,4
2008215,0,1,5
2008216,1,6,6
2008217,9,6,2
2008218,8,8,4
2008219,7,5,1
2008220,2,1,3
2008221,5,2,9
2008222,6,3,6
2008223,9,3,4
2008224,5,2,5
2008225,0,3,2
2008226,8,3,7
2008227,1,6,7
2008228,6,6,1
2008229,6,0,4
2008230,9,1,3
2008231,3,9,5
2008232,1,3,2
2008233,7,6,6
2008234,0,7,6
2008235,8,3,7
2008236,6,2,2
2008237,6,9,9
2008238,2,2,3
2008239,5,3,8
2008240,4,3,1
2008241,1,0,7
2008242,7,2,5
2008243,6,4,7
2008244,0,0,0
2008245,7,5,0
2008246,9,3,1
2008247,8,9,6
2008248,7,9,5
2008249,9,1,4
2008250,3,6,9
2008251,4,0,4
2008252,0,5,0
2008253,3,3,7
2008254,9,2,8
2008255,1,8,2
2008256,0,5,5
2008257,1,9,0
2008258,2,0,1
2008259,5,2,8
2008260,0,0,2
2008261,2,2,3
2008262,0,3,2
2008263,7,0,0
2008264,2,6,8
2008265,4,8,9
2008266,3,0,9
2008267,2,1,0
2008268,7,6,8
2008269,9,8,0
2008270,1,8,6
2008271,8,1,6
2008272,8,1,5
2008273,4,0,9
2008274,9,2,2
2008275,0,2,0
2008276,8,9,1
2008277,5,6,0
2008278,7,8,6
2008279,8,9,6
2008280,2,3,4
2008281,7,6,6
2008282,5,7,9
2008283,3,1,5
2008284,5,4,9
2008285,5,4,7
2008286,2,0,9
2008287,7,9,4
2008288,8,3,6
2008289,0,4,5
2008290,1,4,4
2008291,9,9,7
2008292,8,1,9
2008293,9,0,5
2008294,8,3,5
2008295,8,0,8
2008296,3,2,0
2008297,7,4,9
2008298,1,0,7
2008299,1,0,4
2008300,7,9,4
2008301,2,9,4
2008302,4,2,4
2008303,9,7,1
2008304,5,2,5
2008305,6,7,9
2008306,7,6,4
2008307,8,4,3
2008308,1,7,2
2008309,8,6,7
2008310,9,6,7
2008311,5,1,8
2008312,6,3,3
2008313,1,7,8
2008314,5,1,8
2008315,5,4,8
2008316,4,9,3
2008317,0,0,0
2008318,0,9,6
2008319,0,0,3
2008320,0,5,3
2008321,5,3,5
2008322,3,5,5
2008323,1,0,6
2008324,9,9,1
2008325,8,1,1
2008326,5,0,2
2008327,2,1,3
2008328,4,4,0
2008329,0,5,2
2008330,0,0,7
2008331,3,6,8
2008332,4,3,3
2008333,3,9,8
2008334,7,3,6
2008335,1,8,7
2008336,6,8,7
2008337,9,1,5
2008338,0,7,1
2008339,4,5,2
2008340,3,4,2
2008341,6,9,9
2008342,3,6,8
2008343,5,4,1
2008344,1,1,9
2008345,3,9,3
2008346,9,8,2
2008347,8,0,7
2008348,0,1,4
2008349,4,0,0
2008350,3,6,4
2008351,0,5,5
2008352,6,3,2
2008353,8,1,3
2008354,8,0,1
2008355,8,2,0
2008356,3,6,3
2008357,4,7,5
2008358,1,5,9
2008359,9,2,7
2009001,6,7,1
2009002,7,5,4
2009003,4,3,8
2009004,9,5,1
2009005,4,9,9
2009006,0,3,7
2009007,9,1,6
2009008,1,9,6
2009009,0,4,7
2009010,3,9,7
2009011,4,0,3
2009012,1,5,7
2009013,6,2,6
2009014,4,3,4
2009015,8,6,9
2009016,3,0,4
2009017,7,4,0
2009018,3,3,4
2009019,5,1,4
2009020,3,2,8
2009021,1,3,5
2009022,3,5,8
2009023,3,4,4
2009024,4,2,9
2009025,1,4,1
2009026,3,8,4
2009027,2,9,8
2009028,5,0,6
2009029,9,1,8
2009030,7,8,5
2009031,5,2,9
2009032,1,9,4
2009033,4,4,4
2009034,7,6,7
2009035,5,1,4
2009036,2,3,6
2009037,1,4,7
2009038,5,4,0
2009039,8,9,7
2009040,4,4,0
2009041,9,6,8
2009042,1,4,0
2009043,2,6,8
2009044,7,3,7
2009045,3,7,5
2009046,9,8,9
2009047,3,9,3
2009048,9,3,9
2009049,8,3,4
2009050,5,0,8
2009051,4,1,6
2009052,3,8,9
2009053,6,4,5
2009054,6,9,8
2009055,5,6,7
2009056,6,5,2
2009057,6,5,8
2009058,2,0,8
2009059,3,5,9
2009060,7,7,4
2009061,2,0,7
2009062,4,4,3
2009063,9,9,4
2009064,6,6,1
2009065,0,5,5
2009066,6,6,5
2009067,0,1,6
2009068,7,1,8
2009069,0,8,5
2009070,3,5,1
2009071,0,4,7
2009072,8,2,1
2009073,3,0,3
2009074,3,2,8
2009075,9,9,9
2009076,9,8,8
2009077,5,7,6
2009078,5,5,8
2009079,8,9,2
2009080,5,3,0
2009081,4,5,6
2009082,3,7,6
2009083,8,7,7
2009084,0,7,6
2009085,8,5,2
2009086,1,6,1
2009087,8,2,1
2009088,8,0,9
2009089,0,4,6
2009090,0,0,3
2009091,8,5,1
2009092,0,8,5
2009093,0,6,9
2009094,2,9,0
2009095,7,9,2
2009096,4,0,2
2009097,4,7,4
2009098,9,3,7
2009099,4,3,6
2009100,5,8,5
2009101,4,8,5
2009102,1,9,7
2009103,7,3,0
2009104,5,1,5
2009105,6,9,1
2009106,5,8,0
2009107,9,8,5
2009108,2,0,7
2009109,8,3,2
2009110,6,0,3
2009111,6,4,5
2009112,4,7,7
2009113,7,0,5
2009114,3,5,9
2009115,0,4,8
2009116,1,9,2
2009117,5,0,5
2009118,6,6,3
2009119,1,4,6
2009120,3,0,1
2009121,1,8,1
2009122,4,3,1
2009123,9,9,2
2009124,2,2,3
2009125,6,4,4
2009126,7,3,6
2009127,5,3,9
2009128,9,7,4
2009129,0,5,6
2009130,2,6,9
2009131,3,7,3
2009132,8,3,2
2009133,4,1,9
2009134,9,8,6
2009135,7,2,2
2009136,5,7,0
2009137,3,0,2
2009138,8,9,0
2009139,4,1,2
2009140,7,3,1
2009141,9,3,8
2009142,2,1,8
2009143,2,2,1
2009144,0,9,7
2009145,1,1,0
2009146,7,1,4
2009147,5,6,6
2009148,8,3,1
2009149,0,6,3
2009150,7,1,9
2009151,4,5,3
2009152,5,7,2
2009153,3,8,9
2009154,3,5,1
2009155,1,8,8
2009156,8,4,1
2009157,5,0,8
2009158,1,3,9
2009159,0,3,7
2009160,6,2,7
2009161,0,4,8
2009162,9,9,5
2009163,8,3,8
2009164,1,4,7
2009165,3,5,4
2009166,2,0,9
2009167,8,1,7
2009168,5,6,5
2009169,4,7,5
2009170,4,4,6
2009171,2,0,0
2009172,9,1,9
2009173,7,1,3
2009174,9,6,5
2009175,5,8,6
2009176,5,5,1
2009177,0,5,9
2009178,2,4,7
2009179,3,6,2
2009180,0,3,5
2009181,5,0,0
2009182,2,8,8
2009183,6,9,6
2009184,6,2,3
2009185,8,4,5
2009186,0,1,7
2009187,5,1,0
2009188,9,1,1
2009189,2,8,1
2009190,5,3,4
2009191,6,4,0
2009192,6,6,9
2009193,3,4,8
2009194,2,1,4
2009195,2,7,9
2009196,4,6,8
2009197,8,8,9
2009198,2,9,8
2009199,6,1,2
2009200,8,2,3
2009201,1,8,8
2009202,2,3,0
2009203,8,3,0
2009204,0,6,2
2009205,0,8,3
2009206,2,8,4
2009207,3,6,7
2009208,0,1,3
2009209,1,5,4
2009210,3,0,4
2009211,6,8,1
2009212,6,4,2
2009213,5,6,7
2009214,2,3,9
2009215,3,1,8
2009216,6,4,8
2009217,6,8,5
2009218,0,6,1
2009219,8,2,2
2009220,3,1,7
2009221,8,5,6
2009222,7,6,1
2009223,7,4,0
2009224,1,7,6
2009225,4,3,8
2009226,4,5,7
2009227,2,4,4
2009228,7,3,8
2009229,5,9,7
2009230,7,7,2
2009231,1,2,7
2009232,4,3,8
2009233,8,0,7
2009234,0,7,3
2009235,0,6,3
2009236,3,2,3
2009237,8,4,4
2009238,9,6,3
2009239,1,7,3
2009240,2,9,9
2009241,7,7,3
2009242,1,5,6
2009243,6,9,5
2009244,4,2,3
2009245,4,5,4
2009246,7,5,1
2009247,8,0,4
2009248,4,1,2
2009249,5,5,0
2009250,3,1,9
2009251,5,8,7
2009252,3,9,9
2009253,7,0,7
2009254,0,0,8
2009255,9,0,6
2009256,8,6,0
2009257,8,3,9
2009258,5,4,9
2009259,6,6,6
2009260,4,2,3
2009261,3,9,8
2009262,7,9,0
2009263,2,9,2
2009264,3,4,5
2009265,8,6,9
2009266,8,9,4
2009267,9,3,7
2009268,4,8,0
2009269,4,3,0
2009270,7,5,9
2009271,3,3,5
2009272,5,6,6
2009273,0,9,5
2009274,5,9,3
2009275,6,1,5
2009276,6,0,8
2009277,9,4,0
2009278,3,6,7
2009279,6,8,4
2009280,9,5,6
2009281,4,5,9
2009282,8,5,0
