issue,hundreds,tens,ones
2002319,1,1,5
2002320,0,1,3
2002321,3,8,9
2002322,7,4,7
2002323,1,7,2
2002324,3,8,9
2002325,5,5,3
2002326,9,6,3
2002327,8,0,4
2002328,7,5,0
2002329,9,8,0
2002330,5,4,2
2002331,4,9,3
2002332,3,0,6
2002333,8,4,5
2002334,4,5,5
2002335,1,6,8
2002336,2,2,6
2002337,9,5,3
2002338,5,2,6
2002339,4,7,2
2002340,6,1,0
2002341,4,4,1
2002342,6,3,2
2002343,6,3,9
2002344,0,7,0
2002345,1,8,7
2002346,0,3,1
2002347,9,4,2
2002348,2,7,0
2002349,9,8,5
2002350,2,6,1
2002351,5,9,8
2002352,1,5,9
2002353,0,0,8
2002354,8,0,7
2002355,6,1,5
2002356,5,9,6
2002357,9,3,8
2002358,6,2,8
2003001,0,4,0
2003002,0,3,8
2003003,0,5,3
2003004,4,7,5
2003005,0,9,0
2003006,1,4,3
2003007,3,9,6
2003008,6,6,8
2003009,9,0,8
2003010,1,7,1
2003011,9,8,9
2003012,5,1,8
2003013,0,7,9
2003014,8,3,2
2003015,1,9,6
2003016,0,5,4
2003017,1,6,1
2003018,8,3,8
2003019,5,6,6
2003020,3,8,7
2003021,0,3,1
2003022,3,9,1
2003023,4,4,1
2003024,8,3,8
2003025,4,1,5
2003026,3,3,9
2003027,3,7,8
2003028,5,9,3
2003029,0,2,2
2003030,6,2,9
2003031,0,0,8
2003032,8,9,8
2003033,2,9,1
2003034,6,6,8
2003035,2,3,5
2003036,7,9,1
2003037,8,1,4
2003038,0,1,1
2003039,8,4,2
2003040,3,3,9
2003041,2,6,9
2003042,9,9,3
2003043,2,5,9
2003044,5,6,4
2003045,9,2,4
2003046,4,6,3
2003047,8,1,4
2003048,8,3,3
2003049,1,3,5
2003050,4,1,6
2003051,3,1,4
2003052,0,1,4
2003053,5,8,0
2003054,8,9,7
2003055,7,9,5
2003056,7,2,7
2003057,7,0,6
2003058,6,5,8
2003059,3,6,3
2003060,8,6,6
2003061,9,0,1
2003062,6,9,9
2003063,9,4,9
2003064,7,2,1
2003065,7,2,4
2003066,6,5,0
2003067,7,2,0
2003068,2,1,1
2003069,2,7,9
2003070,4,6,6
2003071,8,3,6
2003072,2,1,1
2003073,8,6,2
2003074,7,2,5
2003075,1,7,4
2003076,2,3,8
2003077,9,1,5
2003078,0,1,6
2003079,2,0,7
2003080,7,7,4
2003081,3,8,9
2003082,7,3,2
2003083,2,3,8
2003084,7,6,3
2003085,5,1,9
2003086,8,1,2
2003087,5,5,0
2003088,1,6,8
2003089,5,1,6
2003090,8,2,2
2003091,5,5,7
2003092,3,4,8
2003093,5,3,6
2003094,8,9,0
2003095,4,9,6
2003096,8,6,0
2003097,7,0,9
2003098,9,9,7
2003099,5,4,7
2003100,3,0,6
2003101,1,6,5
2003102,8,0,4
2003103,3,4,0
2003104,5,2,6
2003105,2,3,6
2003106,7,8,5
2003107,5,1,8
2003108,9,7,5
2003109,6,7,8
2003110,8,8,4
2003111,8,0,3
2003112,2,8,6
2003113,8,6,5
2003114,7,0,5
2003115,7,0,5
2003116,7,5,8
2003117,3,7,8
2003118,8,9,1
2003119,1,0,6
2003120,8,9,1
2003121,8,2,5
2003122,0,9,6
2003123,8,6,1
2003124,6,7,4
2003125,6,6,7
2003126,3,9,3
2003127,9,9,4
2003128,4,1,3
2003129,7,3,5
2003130,2,0,2
2003131,7,5,3
2003132,8,2,8
2003133,9,0,9
2003134,3,2,4
